place,other,relation,source
ir-vaiasr-dizaj-town,ir-hospital-of-artesh,adjacent,osm
ir-vaiasr-dizaj-town,ir-w624700103,adjacent,osm
ir-vaiasr-dizaj-town,ir-alvand-town,adjacent,osm
ir-vaiasr-dizaj-town,ir-r8686207,adjacent,osm
ir-vaiasr-dizaj-town,ir-w625144756,adjacent,osm
ir-vaiasr-dizaj-town,ir-maryanaj,adjacent,osm
ir-valiasr-dizaj-town,ir-hospital-of-artesh,adjacent,osm
ir-valiasr-dizaj-town,ir-w624700103,adjacent,osm
ir-valiasr-dizaj-town,ir-alvand-town,adjacent,osm
ir-valiasr-dizaj-town,ir-r8686207,adjacent,osm
ir-valiasr-dizaj-town,ir-w625144756,adjacent,osm
ir-valiasr-dizaj-town,ir-maryanaj,adjacent,osm
ir-shahr-e-kord,ir-r6557030,adjacent,osm
ir-r6846378,ir-r6557030,adjacent,osm
ir-abeyak,ir-abyek-city,adjacent,osm
ir-morad-beyg-valley,ir-tandis-tower,adjacent,osm
ir-morad-beyg-valley,ir-w624359457,adjacent,osm
ir-morad-beyg-valley,ir-pardis-2,adjacent,osm
ir-morad-beyg-valley,ir-w624373879,adjacent,osm
ir-morad-beyg-valley,ir-ostadan,adjacent,osm
ir-w326747145,ir-tandis-tower,adjacent,osm
ir-w326747145,ir-w624359457,adjacent,osm
ir-w326747145,ir-pardis-2,adjacent,osm
ir-w326747145,ir-w624373879,adjacent,osm
ir-w326747145,ir-ostadan,adjacent,osm
ir-bag-saeb,ir-w624906846,adjacent,osm
ir-bag-saeb,ir-shahrdari-1,adjacent,osm
ir-w430745038,ir-samen-district,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-ganjnameh,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-w624354128,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-eram-blv,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-w625155083,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-abbas-abad-5,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-w571020864,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-hospital-beheshti,adjacent,osm
ir-abbas-abad-entertainment-complex,ir-w500284864,adjacent,osm
ir-w433917747,ir-ganjnameh,adjacent,osm
ir-w433917747,ir-w624354128,adjacent,osm
ir-w433917747,ir-eram-blv,adjacent,osm
ir-w433917747,ir-w625155083,adjacent,osm
ir-w433917747,ir-abbas-abad-5,adjacent,osm
ir-w433917747,ir-w571020864,adjacent,osm
ir-w433917747,ir-hospital-beheshti,adjacent,osm
ir-w433917747,ir-w500284864,adjacent,osm
ir-chalus,ir-r17351642,adjacent,osm
ir-shahrabad-district,ir-r6558217,adjacent,osm
ir-shahrabad-district,ir-r6558175,adjacent,osm
ir-r6558803,ir-r6557976,adjacent,osm
ir-r6557023,ir-sousangerd,adjacent,osm
ir-r6557023,ir-r6558580,adjacent,osm
ir-r6557023,ir-r6556713,adjacent,osm
ir-r17341109,ir-kuhdasht,adjacent,osm
ir-r6827274,ir-r6557030,adjacent,osm
ir-r18718111,ir-r19317835,adjacent,osm
ir-r18718111,ir-r19248624,adjacent,osm
ir-r18718218,ir-r18718077,adjacent,osm
ir-r19300795,ir-r19291574,adjacent,osm
ir-r17812578,ir-shahrake-tosee-neyshekar,adjacent,osm
ir-r8672226,ir-w624320861,adjacent,osm
ir-r8672226,ir-janbazan-3,adjacent,osm
ir-r8672226,ir-w624309914,adjacent,osm
ir-r8672226,ir-charmsazi-manouchehri,adjacent,osm
ir-r8672226,ir-w625034685,adjacent,osm
ir-r8672226,ir-babataher,adjacent,osm
ir-r8672226,ir-hospital-of-artesh,adjacent,osm
ir-r8672226,ir-w624700103,adjacent,osm
ir-r8672226,ir-imam-khomeyni-town,adjacent,osm
ir-r8672226,ir-eslam-shahr-shahpasand,adjacent,osm
ir-r8672226,ir-r8686207,adjacent,osm
ir-r8672226,ir-w625144756,adjacent,osm
ir-w490620258,ir-w624320861,adjacent,osm
ir-w490620258,ir-janbazan-3,adjacent,osm
ir-w490620258,ir-w624309914,adjacent,osm
ir-w490620258,ir-charmsazi-manouchehri,adjacent,osm
ir-w490620258,ir-w625034685,adjacent,osm
ir-w490620258,ir-babataher,adjacent,osm
ir-w490620258,ir-hospital-of-artesh,adjacent,osm
ir-w490620258,ir-w624700103,adjacent,osm
ir-w490620258,ir-imam-khomeyni-town,adjacent,osm
ir-w490620258,ir-eslam-shahr-shahpasand,adjacent,osm
ir-w490620258,ir-r8686207,adjacent,osm
ir-w490620258,ir-w625144756,adjacent,osm
ir-hospital-bu-ali,ir-w624403416,adjacent,osm
ir-hospital-bu-ali,ir-ghaem-square,adjacent,osm
ir-hospital-bu-ali,ir-hamedan-univercity-of-technology,adjacent,osm
ir-hospital-bu-ali,ir-w522691662,adjacent,osm
ir-w500283365,ir-w624403416,adjacent,osm
ir-w500283365,ir-ghaem-square,adjacent,osm
ir-w500283365,ir-hamedan-univercity-of-technology,adjacent,osm
ir-w500283365,ir-w522691662,adjacent,osm
ir-hospital-beheshti,ir-eram-blv,adjacent,osm
ir-hospital-beheshti,ir-w625155083,adjacent,osm
ir-hospital-beheshti,ir-abbas-abad-5,adjacent,osm
ir-hospital-beheshti,ir-w571020864,adjacent,osm
ir-hospital-beheshti,ir-w624403416,adjacent,osm
ir-hospital-beheshti,ir-ghaem-square,adjacent,osm
ir-w500284864,ir-eram-blv,adjacent,osm
ir-w500284864,ir-w625155083,adjacent,osm
ir-w500284864,ir-abbas-abad-5,adjacent,osm
ir-w500284864,ir-w571020864,adjacent,osm
ir-w500284864,ir-w624403416,adjacent,osm
ir-w500284864,ir-ghaem-square,adjacent,osm
ir-islamic-azad-university,ir-madani-borough,adjacent,osm
ir-w514904975,ir-madani-borough,adjacent,osm
ir-shavarin,ir-emam-hasan-square,adjacent,osm
ir-shavarin,ir-w625139580,adjacent,osm
ir-shavarin,ir-babak-crossroad,adjacent,osm
ir-shavarin,ir-w624712247,adjacent,osm
ir-shavarin,ir-persigaz,adjacent,osm
ir-shavarin,ir-r19059693,adjacent,osm
ir-w521108621,ir-emam-hasan-square,adjacent,osm
ir-w521108621,ir-w625139580,adjacent,osm
ir-w521108621,ir-babak-crossroad,adjacent,osm
ir-w521108621,ir-w624712247,adjacent,osm
ir-w521108621,ir-persigaz,adjacent,osm
ir-w521108621,ir-r19059693,adjacent,osm
ir-hamedan-univercity-of-technology,ir-w624379045,adjacent,osm
ir-hamedan-univercity-of-technology,ir-ostandari-2,adjacent,osm
ir-hamedan-univercity-of-technology,ir-w624403416,adjacent,osm
