code,name,name_en,kind,parent,in_path,latitude,longitude,source
ir-helemsi,حلمسی,Helemsi,village,ir-r6556703,True,37.671811,47.517168,osm:n2018451433
ir-cheran,چرن,Cheran,village,ir-r6556873,True,37.67187,47.547582,osm:n2018451434
ir-gamichi,گمیچی,Gamichi,village,ir-r6556904,True,37.763516,45.508659,osm:n2018655355
ir-agh-gunbad,آغ گونبد - سفید گنبد,Agh gunbad,village,ir-r6556904,True,37.816398,45.423269,osm:n2018655356
ir-saray-2,سرای,Saray,village,ir-r6556904,True,37.861767,45.564195,osm:n2018655358
ir-bahramabad,بهرام آباد,Bahramabad,village,ir-r6556904,True,37.891055,45.565998,osm:n2018655543
ir-teymurlu,تیمورلو,Teymurlu,village,ir-r6556904,True,37.923445,45.477356,osm:n2018655548
ir-boracharli-borachalu,بوراچالو,Boracharli - Borachalu,village,ir-r6556904,True,37.919206,45.460643,osm:n2018655582
ir-n2019510326,نگڵ,,village,ir-r6558585,True,35.288979,46.523221,osm:n2019510326
ir-n2019510331,میانه,,village,ir-r6558585,True,35.323844,46.499978,osm:n2019510331
ir-khara,خارا,Khara,village,ir-r6556898,True,32.124405,52.634603,osm:n2046782500
ir-n2051873675,پردان,,village,ir-r6557485,True,33.405767,59.891657,osm:n2051873675
ir-old-zohan,زهان قدیم,Old Zohan,village,ir-r6557485,True,33.41557,59.797457,osm:n2051873736
ir-mehrak,مهرک,Mehrak,village,ir-r6557485,True,33.418714,59.753125,osm:n2051873791
ir-n2051874180,پایهان,,village,ir-r6557485,True,33.439181,59.802659,osm:n2051874180
ir-afin,افین,Afin,village,ir-r6556525,True,33.525899,59.74705,osm:n2051897298
ir-qohestan,قهستان,Qohestan,city,ir-r6558048,True,33.149541,59.716581,osm:n2051963268
ir-dorokhsh,درخش,Dorokhsh,village,ir-r6558048,True,33.161843,59.711284,osm:n2051963269
ir-n2051963870,شیرگ,,village,ir-r6557485,True,33.28772,59.777375,osm:n2051963870
ir-n2051964004,کلاته مزار,,village,ir-r6557485,True,33.322352,59.793284,osm:n2051964004
ir-n2051964045,بای مرغ,,village,ir-r6557485,True,33.330487,59.800367,osm:n2051964045
ir-n2052081462,پیچکان,,village,ir-r6557502,True,33.381808,60.030571,osm:n2052081462
ir-n2052081463,پیش بر,,village,ir-r6557502,True,33.388994,59.978952,osm:n2052081463
ir-n2052081529,بزن بالا,,village,ir-r6557485,True,33.389901,59.956991,osm:n2052081529
ir-n2052082025,روستای بشیران,,village,ir-r6557502,True,33.551879,59.949905,osm:n2052082025
ir-boureng,بورنگ,Boureng,village,ir-r6558486,True,33.014604,59.753925,osm:n2052120918
ir-n2052120921,گسک,,village,ir-r6557905,True,33.040781,59.705996,osm:n2052120921
ir-asfich,اسفیچ,Asfich,village,ir-r6557905,True,33.042428,59.639529,osm:n2052120922
ir-n2052120925,منصورآباد,,village,ir-r6557905,True,33.048961,59.653103,osm:n2052120925
ir-n2052120982,فضل آباد,,village,ir-r14448804,True,33.085701,59.679149,osm:n2052120982
ir-n2052121160,شمس آباد,,village,ir-r14448804,True,33.148836,59.678793,osm:n2052121160
ir-n2052121607,سر خنگ,,village,ir-r6558048,True,33.185911,59.702489,osm:n2052121607
ir-n2052173382,تخته جان,,village,ir-r6558048,True,33.222434,60.000972,osm:n2052173382
ir-n2052173748,سراب سفلی,,village,ir-r6558048,True,33.235748,59.962061,osm:n2052173748
ir-n2052886687,دزگ,,village,ir-r6557502,True,33.340499,60.096676,osm:n2052886687
ir-n2052886793,مناوند,,village,ir-r6557502,True,33.366021,60.049582,osm:n2052886793
ir-n2052887026,علی آباد,,village,ir-r6557502,True,33.378848,60.005613,osm:n2052887026
ir-barsenan,برسنان,Barsenan,village,ir-r6557502,True,33.42583,59.989137,osm:n2052887857
ir-n2053470985,عباس آباد دشت,,village,ir-r6557530,True,33.352277,59.335449,osm:n2053470985
ir-n2053472143,برکوک,,village,ir-r6557530,True,33.422218,59.378118,osm:n2053472143
