place,name,kind,source
ir-qeran,Qaran;Qerran,colloquial,osm
ir-n3516582896,اراغل;قراغل,colloquial,osm
ir-qarah-bolagh-e-khan,غره بلغ خن;قره بلاغ;قره بلاغ خان,colloquial,osm
ir-qarah-bolagh-e-panjeh,قر بلاغ پنجه;قره بولاغ;قره بلاغ پنجه;کره بلاغ;کره بولاغ,colloquial,osm
ir-qarah-tureh,قراطوره;قره توره;قرا طوره,colloquial,osm
ir-qaridar,کائیدر;قریدر;قوریدر;کریدر;قرودر,colloquial,osm
ir-qasrian,قسریان;قصریان,colloquial,osm
ir-qazi-jub,قازی جوب,colloquial,osm
ir-qeshlaq-e-hasan-khan,قشلاق حسن;قشلاق حسن خان,colloquial,osm
ir-qeshlaq-e-now-ruz,قشلاق نوروز,colloquial,osm
ir-n3516582999,قلعه خان قزی خانم,colloquial,osm
ir-qujaq,قوچاق,colloquial,osm
ir-n3516583002,قریچاه,colloquial,osm
ir-ramesht,رمیشت,colloquial,osm
ir-ramul,رامل,colloquial,osm
ir-sa-dabad,تپله;تپه,colloquial,osm
ir-sa-idabad,ساعد آباد,colloquial,osm
ir-sabzevar-2,سبزبار,colloquial,osm
ir-sadeqabad-2,Sadiqabad,colloquial,osm
ir-n3516583015,سلامت آباد;صلوات آباد;روستای صلوات آباد,colloquial,osm
ir-sanduqabad,صندق آباد,colloquial,osm
ir-white-stone,کوچک چرمه;کوچک چل مه,colloquial,osm
ir-sar-cham-2,Sar Chashm;Sar Chashmeh;Sar Cheshmeh,colloquial,osm
ir-sarab-e-dowkal,سراب دو کل;سرب دگل,colloquial,osm
ir-sarab-e-qaht,سر اوقات,colloquial,osm
ir-sarab-e-shahrak,سرن سریک;شارک پائین,colloquial,osm
ir-sarab-e-sheykh-hasan,سراب,colloquial,osm
ir-sarabekam,سراب کام,colloquial,osm
ir-sarchi,سرچین,colloquial,osm
ir-sarqal,سرکل,colloquial,osm
ir-sarvaleh,Sarwaleh,colloquial,osm
ir-n3516583035,پشت دربند,colloquial,osm
ir-selseleh,سیلساله,colloquial,osm
ir-seman,سمان,colloquial,osm
ir-serenjianeh,سرنجیانه;سیرنجانه;سیرینجانه,colloquial,osm
ir-serinjianeh-ye-bala,سرنجیانه بالا;سیرینجیانۀ بالا;سرنجیانه علیا,colloquial,osm
ir-serinjianeh-ye-pa-in,سیرینجیانۀ پائین;سرنجیانه پائین;سرنجیانه سفلى,colloquial,osm
ir-seyfabad-2,چال آباد;سیف آباد,colloquial,osm
ir-seylab,اسفند آباد,colloquial,osm
ir-seyedan,سییده;سیدان,colloquial,osm
ir-shah-jub,شاه چوب,colloquial,osm
ir-shahini,شینی;شیم,colloquial,osm
ir-shahrak-e-sofla,شهرک سفلى;شاراک پائین;شریکۀ پائین,colloquial,osm
ir-shanureh,شه نره;شاهنوزه;شانوره,colloquial,osm
ir-sheyda,شیده,colloquial,osm
ir-sheykh-taqqeh,شیخ تاوز;شیخ تقه;شیخ تقی,colloquial,osm
ir-shir-kosh-e-sofla,سرکوش پائین;شیر کش سفلى;سرکش پائین,colloquial,osm
ir-shoja-abad,سجاد آباد,colloquial,osm
ir-shokrabad,شکراباد میهم,colloquial,osm
ir-shotor-mol,شترمل;شتر مل;اشترمل,colloquial,osm
ir-shur-ab-e-hezareh,شوراب هزاره;شوراب,colloquial,osm
ir-shurab-khan,شوراب;شوراب خان,colloquial,osm
ir-shurab-e-hajji,شوراب;حاجی شوراب,colloquial,osm
ir-hoshtari,سوشتارین,colloquial,osm
ir-sianow,سیاناو,colloquial,osm
ir-sis-2,سبیس;سهبیس,colloquial,osm
ir-siviyeh,ستوده;ستوته,colloquial,osm
ir-n3516583082,سلطاناباد دره ویران,colloquial,osm
ir-sufiabad,صفی آباد,colloquial,osm
ir-sural,Surhal,colloquial,osm
ir-ta,طای,colloquial,osm
ir-tahmasb-qoli,طهماسب قلی;طهماسب قلعه,colloquial,osm
ir-tahmures,طهورث,colloquial,osm
ir-tajareh-2,Sar-i-Tajareh,colloquial,osm
ir-takht-e-zangi,تخت رنگی;تخت زنگی,colloquial,osm
ir-tarazvaleh,ترازوله;ترزوله,colloquial,osm
ir-tazehabad-3,تازهاباد طهماسبقلی,colloquial,osm
ir-tazehabad-e-cheraghabad,تازه آباد;تازهاباد چراغ آباد,colloquial,osm
ir-tazehabad-e-gilaklu,تازهاباد گیلکلو,colloquial,osm
ir-tazehabad-e-karimabad,کریم آباد,colloquial,osm
ir-tazehabad-e-khalilabad,تزاوه;تازهاباد خلیل آباد;تازهاباد سید محمود;تازه آباد,colloquial,osm
ir-tazehabad-e-owriyeh,Tazehabad;Tazehabad-e Averyeh,colloquial,osm
ir-tazehabad-e-sar-e-pol,تازهاباد دولکرو,colloquial,osm
ir-tazehabad-e-sarab-e-qaht,تازهاباد سر آب قحط;تازه آوه;تازهاباد سراب قحط,colloquial,osm
ir-tazehabad-e-saravaryeh,تازه آباد,colloquial,osm
ir-tilaku,تیلکوه,colloquial,osm
ir-tubreh-riz-2,تربریز;توربه ریز,colloquial,osm
ir-tughan-polu-sarkan,طوغان پل سرکان,colloquial,osm
ir-tughan,تغان;طوغان بابا گر گر;طوغان;توغان جدید,colloquial,osm
ir-n3516583420,تپ آغاج;تباغاج;توپ آقاچ,colloquial,osm
ir-valiabad-2,Waliabad,colloquial,osm
ir-vamsaneh,وامستانه,colloquial,osm
ir-vanderni-ye-sofla,ونارنی سفلى;وندرنئ سفلى;وندرنئ پائین;وندرنی سفلى,colloquial,osm
ir-vanderni-ye-olya,Vendarni-ye `Olya;Vondarni-ye `Olya,colloquial,osm
ir-varmakan,Warmaqan,colloquial,osm
ir-vasi-ye-sofla,واسی;وصی پائین,colloquial,osm
ir-vasi-ye-olya,وصی بالا,colloquial,osm
ir-vazmaneh-ye-sofla,وزمانۀ سفلى;وزمانۀ پائین,colloquial,osm
ir-vazmaneh-ye-olya,ازمانۀ علیا;وزمانۀ بالا;وزمانۀ علیا;وزمانه,colloquial,osm
ir-vey-nesar,وینسار;وینسر,colloquial,osm
ir-n3516583434,ویس مری;وازمیره,colloquial,osm
ir-yaghvasi,یغواسی,colloquial,osm
ir-n3516583436,یالغوز آغاج;یلقوز اغاج;یالقوز آغاج;هلزاقاچ;آلوزاقج,colloquial,osm
ir-yaminan-e-bala,یمینان علی;یمنان بالا;یمنان علیا,colloquial,osm
ir-yaminan-e-pa-in,یمنان;یمینان;یمنان پائین;یمنان سفلى;یمینان سفلى,colloquial,osm
ir-zafarabad,جعفرآباد,colloquial,osm
ir-zarrin-jub,Zarinjur,colloquial,osm
ir-zarrin-jub-2,زرین چوب;زرین جو;زرین جنوبی,colloquial,osm
ir-zarrinabad-2,زرینه آباد,colloquial,osm
ir-zarvan,Zarwan,colloquial,osm
ir-ziveh-3,زیویه,colloquial,osm
ir-abbasabad-12,هواس آباد,colloquial,osm
ir-n3516583454,آلاگن;آلاگز,colloquial,osm
ir-aliabad-shilan,علی آباد,colloquial,osm
ir-aliabad-19,علیاباد مشیر,colloquial,osm
ir-aliabad-20,علیاباد یالغوز آغاج,colloquial,osm
ir-n3516583460,علیاباد کشی چرمی;علیاباد چشمه سفید,colloquial,osm
ir-aliabad-e-bezindar,علی آباد,colloquial,osm
ir-aliabad-e-luch,علی آباد;علیاباد لوچ,colloquial,osm
ir-arabshah,عرب شاه,colloquial,osm
ir-asrabad,عصر آباد;اسد آباد,colloquial,osm
ir-azamabad,اعزم آباد,colloquial,osm
ir-owch-gonbad-e-khan,وچگنبد خان,colloquial,osm
ir-owch-gonbad-e-khan,اوچ گنبد خان,spelling,osm
ir-n3516700386,آقبلاغ علیکبر خان,colloquial,osm
ir-n3516702000,قزل کند,colloquial,osm
ir-nur-mohammad,نور محمد کندی,colloquial,osm
ir-andar-ab,Andarab;Andarad,colloquial,osm
ir-andar,هانه;هنه,colloquial,osm
ir-arandan,ارندان;آرنان;ارنن;رندان;ارنان,colloquial,osm
ir-barz-ab,Barzao;Barza'u;Borzab,colloquial,osm
ir-boz-laneh,Bij Laniyeh;Boz Lanah;Bezlaneh,colloquial,osm
ir-danan,ساعد آباد,colloquial,osm
ir-darvishan,دره شان,colloquial,osm
ir-galin,گلشن;تکیۀ گلین,colloquial,osm
ir-gandoman,کندمان,colloquial,osm
ir-gerger-e-sofla,Gerger-e Pa'in;Gerger,colloquial,osm
ir-gilaneh,کیلانه;کیفنه,colloquial,osm
ir-halvan,هوانله;حلوان,colloquial,osm
ir-hashmiz,هاشمیس,colloquial,osm
ir-kalji,کلیج;کلجی,colloquial,osm
ir-kani-moshkan,Kani Meshkan;Kani Moshgan;Kani Mizhgan;Kani Meshgan,colloquial,osm
ir-kani-salam,کانی شلانه,colloquial,osm
ir-karju,Qaraju,colloquial,osm
ir-khaneqah-golin,خانقاه,colloquial,osm
ir-kolasah,کولسه,colloquial,osm
ir-korrehsi,کرسی,colloquial,osm
ir-kovik,کوئیک;کوویک,colloquial,osm
ir-malekshan-e-sofla,ملکشان;ملکشان پائین,colloquial,osm
ir-malekshan-e-olya,ملکشان;ملکشان بالا,colloquial,osm
ir-ney-dar,نیدر,colloquial,osm
ir-nezar,نزاز,colloquial,osm
ir-nosratabad-6,تازه آباد گرگر;نصرت آباد,colloquial,osm
ir-novin,نوین;نون,colloquial,osm
ir-qoroq,کویک;قورق;قورخ,colloquial,osm
ir-sarsu-sofla,سرسو پائین,colloquial,osm
ir-sarsu-olya,سرسو بالا,colloquial,osm
ir-savarian,Kani Qorbani;Hani Qorbani,colloquial,osm
ir-shian,بلوشیان;شیلان,colloquial,osm
ir-su,سوی,colloquial,osm
ir-tazehabad-kikhosrow,آسیاب کیخسرو,colloquial,osm
ir-tekyeh,Tekeyeh,colloquial,osm
ir-turivar,Tavarivar;Tooryour;Tavrivar,colloquial,osm
ir-uraman-takht,ارمن تخت;اورامان شهر;ورامان تخت;اورامان;ورامان;اورمان,colloquial,osm
ir-vatreh-zamin,فطره زمین,colloquial,osm
ir-zandan,نران,colloquial,osm
ir-anbar-bozan,بزان;مره بزان,colloquial,osm
ir-baqerabad-2,باقلاباد;باقل آباد,colloquial,osm
ir-garz-darreh,گذر درّه;گزر دره,colloquial,osm
ir-khaneqah-juju,خنجه;خانگه,colloquial,osm
ir-zovenj,زنج;زنچ,colloquial,osm
ir-ajgareh,هژ گره;هژگر;اجگره,colloquial,osm
ir-chehel-gazi,Chehl Gazi,colloquial,osm
ir-doveyseh,Dow Veyseh;Doosiyeh;Duvizeh;Duwizeh;Dow Viseh;Duiseh,colloquial,osm
ir-kalkan,کلاهخان;کلهکان,colloquial,osm
ir-khalichian,خلیچیان;خلیجیان,colloquial,osm
ir-khaneqah-e-hasan-jadar,خانقاه حسن جادار,colloquial,osm
ir-qasemabad-6,Qasimabad,colloquial,osm
ir-tazehabad-4,تازه ده;تازه آباد قلعه جوق;تازهاباد قلعه جق,colloquial,osm
ir-tudar-e-ruteh,توئی درتان;تودار رونه,colloquial,osm
ir-tudar-e-samadi,توئی در سمدی,colloquial,osm
ir-hasanabad-e-yasukand,کرانی;حسناباد سوگند;حسن آباد یاسوکند,colloquial,osm
ir-albolagh,آق بلاغ;بولاغ;آقبلاق;آل بلاغ,colloquial,osm
ir-ali-pinak,آلی پنیک;عالی پینک;آلو پینک;آلی پینک,colloquial,osm
ir-bageh-jan,بگهجان;باغ جان,colloquial,osm
ir-baghcheh-ye-maryam,باغچه مریم;بغیچه مریم,colloquial,osm
ir-bala-dasti,بلدستی;بله دستی;بلادسی,colloquial,osm
ir-bayeh,بیا;بایه;بی,colloquial,osm
ir-charkheh-bayan,چرخه بیان;چرخۀ بیان,colloquial,osm
ir-dehrashid,ده رشی;ده رشید,colloquial,osm
ir-dowlatabad-e-kurkureh,خر خوره;خور خوره;دولت آباد;دولتاباد خرکره;دولت آباد کورکوره;دولتاباد کرکره,colloquial,osm
ir-ebrahimabad-3,Ibrahimabad,colloquial,osm
ir-eslamarz,آلمیرز;اسلمرز;اصلامرز;اسلمرس,colloquial,osm
ir-gandab-2,گنب,colloquial,osm
ir-gomeh-darreh,گم دره;گمه دره,colloquial,osm
ir-goriz-darreh,گزر دره,colloquial,osm
ir-hajji-pamoq,حاجی آباد;هاجی پمق;هاجی پ یی موغ;سراب حاجی پیموق;هجی پمغ,colloquial,osm
ir-helizabad,هلیز آباد;هلی آباد,colloquial,osm
ir-hoseyni-3,Husaini,colloquial,osm
ir-kakah-jub,کاکه جوب;کاکا جوب;کاکه جو,colloquial,osm
ir-kani-ahangaran,کانی آهنگران;مبارکاباد کانی آهنگران;مبارک آباد,colloquial,osm
ir-kani-kuchek,کانی بوچگله;کانی کوچک,colloquial,osm
ir-kani-pahan,کانی پان,colloquial,osm
ir-karkabad,کرگ آباد,colloquial,osm
ir-karvandan,کرندان;کروندان,colloquial,osm
ir-kayosheh,کای وشه;کائی وچه;کیوشه,colloquial,osm
ir-kuleh-bayan,کوله بیان;کولهبیان,colloquial,osm
ir-kuleh-hard,خوره هرت;کوله هرد;کله هرد,colloquial,osm
ir-machekeh-ye-bala,ماچگۀ علیا;مچکه بال;ماچگه;ماچکۀ علیا;مچکۀ بالا;ماچگۀ بالا,colloquial,osm
ir-machekeh-ye-pa-in,ماچکۀ سفلى;مچکۀ پائین;ماچگۀ پائین;ماچگۀ سفلى,colloquial,osm
ir-mohammadabad-10,محمداباد خرزه,colloquial,osm
ir-nowgaran,نمگرن;نو گران;ناوگران,colloquial,osm
ir-nowgaran,ناوگران,spelling,osm
ir-qal-eh-fulad,قلعۀ پولا;قل پل;قلعۀ فولاد,colloquial,osm
ir-qeru-chay,کره چیه;قوری چائی;قوری چای;قوریچائی,colloquial,osm
ir-qeshlaq-e-jub,قشلاق جو;قشلاق جوب,colloquial,osm
ir-qeshlaq-e-khoda-karam,قشلاق خاکرم,colloquial,osm
ir-qolqoleh-2,Qulqulleh,colloquial,osm
ir-qu-cham,قشم,colloquial,osm
ir-sarab-7,سراب حاجی پمق,colloquial,osm
ir-tatershid,تاته رشید;تاتۀ رشید,colloquial,osm
ir-tazehabad-kanigulzar,کانئ گلزار;تازهاباد کانی گلزار;کنی گلزار,colloquial,osm
ir-tazehabad-kanigulzar,کانی گلزار - تازه آباد,spelling,osm
ir-tazehabad-6,تازهاباد قوریچای,colloquial,osm
ir-tazehabad-7,تازهاباد دکتر واسع,colloquial,osm
ir-tazehabad-8,قرا گل;قرا گول;تازهاباد قراگل;قراول,colloquial,osm
ir-tazehabad-e-gavmishan,تازه آباد,colloquial,osm
ir-tirgaran,سیرگران;تهیرگرن,colloquial,osm
ir-ahmadabad-14,Ahmadabad,colloquial,osm
ir-al-bolakh,آقبلاغ;آقبلاق,colloquial,osm
ir-allah-darreh-ye-bala,الله دره علیا,colloquial,osm
ir-allah-darreh-ye-pa-in,آله درۀ سفلى;الاه دره;الاه درۀ سفلى;آله درۀ پائین;هاله درۀ پائین,colloquial,osm
ir-almeh-qolaq,المه قلاغ;آلمه قلاغ,colloquial,osm
ir-amirabad-17,Amirawa,colloquial,osm
ir-amrowleh,عمر الله;امروله,colloquial,osm
ir-aqa-jeri,اغجن;آقا جری;آغاجری,colloquial,osm
ir-aqbolagh,آقبلاق;آق بلاغ;البلاغ,colloquial,osm
ir-ashab,اصحاب علیا,colloquial,osm
ir-baba-nazar,صبا نیزار;سبانیزار,colloquial,osm
ir-bagh-chaleh,باغچله;داق شاله;باغ شاله;بغجله,colloquial,osm
ir-baqelabad,باقر آباد;بقل آباد,colloquial,osm
ir-baqelabad,باقل آباد,spelling,osm
ir-bar-qal-eh,برکل;برکت,colloquial,osm
ir-bard-e-sefid,برده سفید,colloquial,osm
ir-bardrash,برده رشه ینگی ارخ;بردرش;برده رش,colloquial,osm
ir-bargoshad-2,برگشاد;برکشاد,colloquial,osm
ir-barudar,برتودار,colloquial,osm
ir-bashugi,بیشوکی;بیشکه;باشوکی,colloquial,osm
ir-bayenjeqlu,باینچقلو;باینج قلی,colloquial,osm
ir-chabolkan-hajji,چاولکان حاجی;چابلکن حاجی;چابلکان حاجی;چابلکان هجی;چاولکان,colloquial,osm
ir-charandu,چرنو,colloquial,osm
ir-chatan,چتاق;چتان,colloquial,osm
ir-cheshmeh-deraz,کانی دراز;چشمه دراز,colloquial,osm
ir-cheshmeh-kazem,چشمه کاظم;چشمۀ کاذام;چشمۀ کاظم;چشمه کاظمیه,colloquial,osm
ir-cheshmeh-sefid-3,کانه کین;خانقین;خیمه سفید;کانی کن;خانه کین,colloquial,osm
ir-darband-9,دربن,colloquial,osm
ir-darreh-dowzan,دره دزدان,colloquial,osm
ir-darreh-dozdan,دره دوزان,colloquial,osm
ir-darreh-softeh,دره سفت;دره سفته;کل سیپته,colloquial,osm
ir-darreh-ye-ivan,درویان;دره ویان;دلویان,colloquial,osm
ir-darvish-khaki,Dhares Khake,colloquial,osm
ir-deh-raqa,ده رقۀ پیر حسین;دیه رقه;دهرقۀ میرحسین;ده رقا;ده رق,colloquial,osm
ir-delow-amadeh,دلو آمده;دلوامده,colloquial,osm
ir-dowlatabad-5,Daulatabad,colloquial,osm
ir-dulbandi,دلبندی;دول بندی,colloquial,osm
ir-ebrahimabad-4,یبراهیم آباد,colloquial,osm
ir-ebrahimabad-5,Ibrahimabad,colloquial,osm
ir-ebrahimabad-e-bala,ابراهیم آباد بالا;ابراهیماباد بالا,colloquial,osm
ir-farhadabad-3,فره آباد;فرح آباد,colloquial,osm
ir-gav-ahantu,گاواهنتو,colloquial,osm
ir-gav-darreh,گاوره;گاوه دره,colloquial,osm
ir-gavandak,کونی;گوندک,colloquial,osm
ir-gazan-e-bala,گزان علیا;غزان;قزان;قازان;قزن علیا,colloquial,osm
ir-gazan-e-pa-in,قجان;کزن کوچک;گزان سفلى,colloquial,osm
ir-geleh-sur,گله سور;گلهسور,colloquial,osm
ir-gheybi-sur,قشور,colloquial,osm
ir-gol-qabagh,گل قباغ;گل خاوک,colloquial,osm
ir-golestaneh-2,Gulistaneh,colloquial,osm
ir-hey-atabad-2,برده رش;هیءت آباد,colloquial,osm
ir-hoseyn-khan,Husain Khan,colloquial,osm
ir-hoseynabad-15,Husainabad,colloquial,osm
ir-jebre-ilan,جرلال;جوبریلان;جبرائیلان;جبرایلان;جبرعیلان,colloquial,osm
ir-kabud-savar,کوه کبود سوار,spelling,osm
ir-kalhorabad,کلهور آباد,colloquial,osm
ir-kani-seyd-morad,کانی سید مراد,colloquial,osm
ir-kani-tala,کانی تاله;کانی تالا,colloquial,osm
ir-kazhi-karan,قازی کران,colloquial,osm
ir-kowleh,کوله;کله,colloquial,osm
ir-mamaq-e-bala,مامق علیا;مامق,colloquial,osm
ir-mamaq-e-bala,ماماق بالا,spelling,osm
ir-mamukh-e-sofla,ماموق پا ییین;مامق پائین,colloquial,osm
ir-mareh-dar,مره دره;مره در,colloquial,osm
ir-mishiab,میشاب,colloquial,osm
ir-mo-inabad,قلا پیوند,colloquial,osm
ir-naqareh-khaneh,نقاره خان,colloquial,osm
ir-nesareh-ye-sofla,نسارۀ پائین;نسار پائین;نسارۀ کوچک;نسار سفلى;نسارۀ سفلى,colloquial,osm
ir-nesareh-ye-olya,نصرۀ بزرگ;نسارۀ بزرگ;نسارۀ کورا;نسار بالا;نسارۀ بالا;نسره بوزورگ,colloquial,osm
ir-pahneh-bor-3,فینابر,colloquial,osm
ir-posht-tang-2,پشت تنگ;پشته تنگ,colloquial,osm
ir-qaba-sorkh,Qaba-i-Surkh,colloquial,osm
ir-qal-eh-gah-2,Kulawa,colloquial,osm
ir-khak-ruzi,خاکرزی,colloquial,osm
ir-khanjareh-ye-olya,خنجرۀ بالا,colloquial,osm
ir-kharakeh,خرکه,colloquial,osm
ir-khezerlak,خیر لاغ;خزر لک;خیرلاقه,colloquial,osm
ir-khorasan,Khuraman,colloquial,osm
ir-kileh-sefid,کلاجرمان;کیله سفید;گریلا هرمان,colloquial,osm
ir-kizmel-e-olya,گزمل علیا;گزمیل;گزمل;گیزمل الی;گیزمل بالا,colloquial,osm
ir-qal-eh-joqeh-2,قالا جگه;قلعه جقه;قلعه جقۀ سفلى;قلعه جوقه;قلئه جقه,colloquial,osm
ir-qal-eh-ye-reyhaneh,قلعۀ ریهانه,colloquial,osm
ir-qalateh-rashkeh,کلاته رشکه;قلعت ترشک;کل درشگ;درشکه;کلات ترشکه,colloquial,osm
ir-qalvazeh,قلوزه,colloquial,osm
ir-qarah-gheybi,قره غیبی;قر کل,colloquial,osm
ir-qarah-qayeh,قاره قایه,colloquial,osm
ir-qeshlaq-sorkheh,قشلاق سورکه,colloquial,osm
ir-qeshlaqlu,قشلاق لو,colloquial,osm
ir-qezel-bolagh-2,قزل بلاق,colloquial,osm
ir-qojur,قجر;قوجر;خجر,colloquial,osm
ir-qolqoleh-3,قلقلۀ چتان;قلقلۀ چتاق,colloquial,osm
ir-sadeqabad-4,سدقه آباد;صدقه آباد,colloquial,osm
ir-salarabad,کانی مار,colloquial,osm
ir-sang-sefid-3,کچک چرمک;کوچک چرمو;سنگسفید,colloquial,osm
ir-sarab-e-bayenjeqlu,سراب باینچقلو;ساروپ,colloquial,osm
ir-sarab-e-sorkh,سراب سرخه;سراب سوره;سرب سور,colloquial,osm
ir-seydan,صیاد,colloquial,osm
ir-shabolaghi,شاهبلاغی,colloquial,osm
ir-shahrak-e-olya,چریکۀ بالا;شهرک بالا;شریکه بال;شرک بالا;سراب شهرک;شریکۀ بالا,colloquial,osm
ir-shaqeh-bard,سید مح اد دین,colloquial,osm
ir-sheykh-vajam,شیخ وجیم;شیخوجیم,colloquial,osm
ir-shir-kosh,شیرکش علیا;شیرکش,colloquial,osm
ir-si-va-seh-mardeh,سیو سه مرده;سوسهمرد,colloquial,osm
ir-sia-saran-e-bala,سیاه سر;سیاه سران علیا;سیا سران علیا,colloquial,osm
ir-sia-saran-e-pa-in,سیاه سران سفلى;سیاه سر;سیا سران سفلى,colloquial,osm
ir-soltanabad-e-tanbali,سلطان آباد;سلطاناباد تنبلی,colloquial,osm
ir-sufian-2,Sufiyan;Sufeyan,colloquial,osm
ir-tappeh-mohammadi,تبریز کوچک;تپۀ محمدی;توبۀ محمد,colloquial,osm
ir-tazeh-deh-e-eslamabad,اسلام آباد;اسلام آباد حاجی موسی,colloquial,osm
ir-tazehabad-qazi-ali,تازهاباد قازی,colloquial,osm
ir-tazehabad-9,تازهاباد بزنقران;تازه آباد بزن قران,colloquial,osm
ir-tazehabad-e-asef,تازهاباد آصف,colloquial,osm
ir-tazehabad-e-golaneh,تازهاباد گلانه;تزج آباد گلانه;تازه آباد,colloquial,osm
ir-tazehabad-e-majidkhani,مجید خان;تازهاباد امین;تازه آباد محمد امین,colloquial,osm
ir-tazehabad-e-sar-dalan,تازهاباد سر دالان;تاج آباد,colloquial,osm
ir-teytaq,تیطخ,colloquial,osm
ir-yangi-arakh,اریکه;ینگی ارخ;اریکهه,colloquial,osm
ir-zagheh-ye-sofla,زاغۀ سفلى;زاغۀ پائین;زاغه,colloquial,osm
ir-zagheh-ye-olya,زاغه;زاغۀ بالا,colloquial,osm
ir-zalkeh,ذلکه,colloquial,osm
ir-zardak,زرتک,colloquial,osm
ir-zardeh-kamar,زرد کمر;سرد قمر,colloquial,osm
ir-zeynal-khan,Zainal Khan,colloquial,osm
ir-abbasabad-16,عباس آباد,colloquial,osm
ir-aliabad-21,علیاباد دوله رش,colloquial,osm
ir-alijan-2,عالی جان;عالیجان,colloquial,osm
ir-abdal-samadi,عبد الصمدی,colloquial,osm
ir-banavchan,بناوجان,colloquial,osm
ir-chul-bolagh,چول بلاخ;چل بلاغ;چول بلاغ,colloquial,osm
ir-darreh-vian-khoshkeh,دره ویان خشکه;درویان سفلى;تکاوسان,colloquial,osm
ir-darvian-e-sheykh-ahmad,دره ویان شیخ;دره ویان شیخ بالا;درویان علیا;قره ویان;دره ویان شیخ احمد;درویان سفلى;دره ویان علیا,colloquial,osm
ir-ebrahimabad-6,Ibrahimabad,colloquial,osm
ir-eshaqabad-2,اسلحاق آباد;اسحاق آباد,colloquial,osm
ir-gavkach-e-olya,گاوکج علیا;گاوگچ علیا,colloquial,osm
ir-gavkaj-e-pa-in,گاوکج سفلى,colloquial,osm
ir-gol-qal-eh,شهکل;گل قلعه;شاه قلعه,colloquial,osm
ir-ja-far-khani,جعفرخان,colloquial,osm
ir-kakowsan,کلکومان;ککوسان;تکوسن;کگه وسن;کاکه اوسان,colloquial,osm
ir-kani-sefid-4,Kani Safid,colloquial,osm
ir-khalbaz,خالبازه;خاله بازه,colloquial,osm
ir-kileh-kabud,کل کبود;کیله کبود,colloquial,osm
ir-mahi-dar-e-pa-in,ماهیدر;ماهیدر پائین;ماهیدر سفلى,colloquial,osm
ir-mulanabad,ملن ابد;مولان آباد,colloquial,osm
ir-ney-kuzleh,تازه آباد,colloquial,osm
ir-qahrabad,قهراباد سلیمان,colloquial,osm
ir-qeshlaq-2,قشلاق آقا گوره,colloquial,osm
ir-suleh-2,سله;سوله;سولله,colloquial,osm
ir-tang-bakh,تنگ باغ,colloquial,osm
ir-tavakkolan,Taukalan;Tavikalan,colloquial,osm
ir-yapal,یاپال;واپل,colloquial,osm
ir-zia-kandi,Ziagah;Zeyagah;Ziaga,colloquial,osm
ir-alijan-3,آلیجان,colloquial,osm
ir-aq-kand-3,آقکند,colloquial,osm
ir-azad-veys-e-bala,آزاد ویس علیا,colloquial,osm
ir-azad-veys-e-pa-in,آزاد ویس سفلى,colloquial,osm
ir-baba-rar,برار;بابا رار,colloquial,osm
ir-bash-qeshlaq,باشقشلاق,colloquial,osm
ir-n3518621312,چقور قشلاق,colloquial,osm
ir-darreh-asb,درسب,colloquial,osm
ir-gham-towrqeh,قم طرقه,colloquial,osm
ir-gol-tappeh-5,گل تپۀ سفلى,colloquial,osm
ir-gol-tappeh-6,گل تپۀ علیا,colloquial,osm
ir-gug-tappeh-2,گوگتپه,colloquial,osm
ir-hasanabad-e-charuq,حسناباد چاروق,colloquial,osm
ir-hoseynabad-e-demirchi,حسیناباد میرچی,colloquial,osm
ir-hoseynabad-e-marran,حسیناباد مران;حسین آباد,colloquial,osm
ir-jaqalu,چقلو,colloquial,osm
ir-kahrizeh,کاریزه,colloquial,osm
ir-kalkeh-jar,کلکهجار,colloquial,osm
ir-kani-cha-i,کانی چای,colloquial,osm
ir-kani-kabud-2,کانی کبود مران,colloquial,osm
ir-kasnazan,کس نزان,colloquial,osm
ir-kharabeh-ye-chul-arkh,خرابۀ چهل ارخ,colloquial,osm
ir-khvosh-maqam,خوشمقام;خوش مقام,colloquial,osm
ir-kol-tappeh-ye-taqamin,گل تپۀ طغامین;گلتپۀ طفامین,colloquial,osm
ir-koluzan,کلهزان,colloquial,osm
ir-marran-e-olya,مران;مران بالا;مران علیا,colloquial,osm
ir-meydan-4,میدان مظفرخان,colloquial,osm
ir-moghanlu,Maganlu;Maqanlu,colloquial,osm
ir-n3518621367,محمداباد علی اکبر خان,colloquial,osm
ir-n3518621368,مراد قلی,colloquial,osm
ir-mozadi,مرادی,colloquial,osm
ir-nimeh-kareh,نیمهکار;نیمه کار,colloquial,osm
ir-owch-gol,وچگل,colloquial,osm
ir-owch-gonbad-e-soltan,وچگنبد سلطان,colloquial,osm
ir-owghlan-e-mir-ahmad,وغلان میر احمد,colloquial,osm
ir-qal-eh-juqeh,قلعه جوقه - قلعه جقه بزرگ - قلعه جقه خان,colloquial,osm
ir-n3518621383,قره محمدلو;قرا محمد;قره محمد,colloquial,osm
ir-qareh-belagh-miyankoh,قره بلاغ;قره بلاغ میانکوه,colloquial,osm
ir-qarah-chay,قره چقای,colloquial,osm
ir-qarah-gol-2,قراگل,colloquial,osm
ir-qarah-tureh-2,قراتوره,colloquial,osm
ir-qarahchi-qeran,قراچیقران,colloquial,osm
