place,name,kind,source
ir-bidkhun-city,شهر بیدخون,spelling,osm
ir-davudabad,شهر داودآباد,spelling,osm
ir-komijan-city,شهر کمیجان,spelling,osm
ir-r9165974,شهر کلاله,spelling,osm
ir-mohiabad,شهر محی آباد,spelling,osm
ir-r6892339,شهر هفشجان,spelling,osm
ir-kaki-city,شهر کاکی,spelling,osm
ir-farmahin,شهر فرمهین,spelling,osm
ir-ma-muniyeh-city,شهر مأمونیه,spelling,osm
ir-r13887335,شهر تفرش,spelling,osm
ir-r9080266,شهر هرمز,spelling,osm
ir-rigan,شهر ریگان,spelling,osm
ir-r6800972,شهر بن,spelling,osm
ir-r8842569,شهر علی آباد کتول,spelling,osm
ir-r17581038,شهر لالی,spelling,osm
ir-bandar-rig-city,شهر بندر ریگ,spelling,osm
ir-shahbaz,شهر شهباز,spelling,osm
ir-bafruiyeh,شهر بفروییه,spelling,osm
ir-mehregan-city,شهر مهرگان,spelling,osm
ir-shoush,شهر شوش,spelling,osm
ir-r15921821,شهر خمام,spelling,osm
ir-bandar-imam-hasan-city,شهر بندر امام حسن,spelling,osm
ir-r8900303,شهر دلیجان,spelling,osm
ir-mohammadiyeh-city,شهر محمدیه,spelling,osm
ir-farashband,شهر فراشبند,spelling,osm
ir-r18797272,شهر نورآباد,spelling,osm
ir-lordegan,شهر لردگان,spelling,osm
ir-ashtian-city,شهر آشتیان,spelling,osm
ir-r11342466,شهر شازند,spelling,osm
ir-r8799457,شهر کردکوی,spelling,osm
ir-r12291270,شهر رابر,spelling,osm
ir-arsanjan,شهر ارسنجان,spelling,osm
ir-ab-pakhsh-city,شهر آب پخش,spelling,osm
ir-bandar-siraf-city,شهر بندر سیراف,spelling,osm
ir-alishahr,شهر عالی شهر,spelling,osm
ir-faruj,شهر فاروج,spelling,osm
ir-takab,شهر تکاب,spelling,osm
ir-r19194802,شهر قره ضیاءالدین,spelling,osm
ir-ravand,شهر راوند,spelling,osm
ir-zehak-city,شهر زهک,spelling,osm
ir-shahmirzad-town,شهر شهمیرزاد,spelling,osm
ir-qeydar-city,شهر قیدار,spelling,osm
ir-r9080268,شهر سوزا,spelling,osm
ir-astaneh-ye-ashrafiyeh,شهر آستانه اشرفیه,spelling,osm
ir-estahban,شهر استهبان,spelling,osm
ir-mahdishahr,شهر مهدی‌شهر,spelling,osm
ir-haji-abad-5,شهر حاجی آباد,spelling,osm
ir-gumish-tappe-city,شهر گمیش تپه,spelling,osm
ir-andouhjerd,شهر اندوهجرد,spelling,osm
ir-w898069883,شهر فریمان,spelling,osm
ir-district-10,منطقه ۱۰ شهر تهران,spelling,osm
ir-mahmoudabad-2,شهر محمودآباد,spelling,osm
ir-eshtehard-city,شهر اشتهارد,spelling,osm
ir-district-17,منطقه ۱۷ شهر تهران,spelling,osm
ir-bandar-deylam-city,شهر بندر دیلم,spelling,osm
ir-r9715389,شهر بردسکن,spelling,osm
ir-abyek-city,شهر آبیک,spelling,osm
ir-r17352104,شهر رودسر,spelling,osm
ir-fahraj,شهر فهرج,spelling,osm
ir-nasimshahr,شهر نسیم شهر,spelling,osm
