id,name,name_en,code,kind,parent_id/id,in_path,latitude,longitude,source
place_w71502431,شهید افتخاری,Martyr Eftekhari Street,ir-martyr-eftekhari-street,street,place_r8321726,True,35.666137,51.319889,osm:w71502431
place_w71502438,نامداری,,ir-w71502438,street,place_r9167418,True,35.662349,51.306766,osm:w71502438
place_w71502454,شورش,,ir-w71502454,street,place_r8321719,True,35.659147,51.301316,osm:w71502454
place_w715312386,کوی گل آذین,Golgasht,ir-golgasht-5,street,place_r8321823,True,35.776752,51.344786,osm:w715312386
place_w715998137,نسترن - عنصری شرقی ۲,Nastaran Street,ir-nastaran-street-3,street,place_r8824644,True,36.273655,59.616496,osm:w715998137
place_w716002065,فتاح,Fattah,ir-fattah,street,place_r8796695,True,36.311156,59.646489,osm:w716002065
place_w718234567,بولوار نماز - هاشمیه ۹۱,Namaz Boulevard,ir-namaz-boulevard-7,street,place_r8833664,True,36.297087,59.491824,osm:w718234567
place_w718234569,بولوار نماز,Namaz Boulevard,ir-namaz-boulevard-8,street,place_r8833665,True,36.292938,59.503104,osm:w718234569
place_w718234570,بولوار نماز,Namaz Boulevard,ir-namaz-boulevard-9,street,place_r8833664,True,36.298757,59.487307,osm:w718234570
place_w718241245,میثم شمالی,,ir-w718241245,street,place_r8810561,True,36.3127,59.661563,osm:w718241245
place_w718802474,پل اول ابوذر,Abouzar 1st Bridge,ir-abouzar-1st-bridge,street,place_r8321583,True,35.688068,51.491174,osm:w718802474
place_w71880769,سپهبد قرنی,Qarani Street,ir-qarani-street,street,place_r8321672,True,35.705341,51.418626,osm:w71880769
place_w71881371,رشت,Rasht street,ir-rasht-street,street,place_r8321676,True,35.704888,51.408085,osm:w71881371
place_w71882948,نبرد,Nabard Boulevard,ir-nabard-boulevard-3,street,place_r8321750,True,35.670894,51.481217,osm:w71882948
place_w71882949,نبرد,Nabard Boulevard,ir-nabard-boulevard-4,street,place_r21290235,True,35.665601,51.481131,osm:w71882949
place_w719111662,ثنا,,ir-w719111662,street,place_r11022901,True,29.71326,52.43815,osm:w719111662
place_w72041592,پل سردار شهید یوسف رضا ابولفتحی,Yadegar-e Emam Expressway,ir-yadegar-e-emam-expressway-7,street,place_r8321827,True,35.792808,51.386853,osm:w72041592
place_w72041600,سازمان برنامه مرکزی,Central Sazman Barname,ir-central-sazman-barname,street,place_r8321708,True,35.731249,51.301662,osm:w72041600
