id,place_id/id,name,kind,source
alias_r13071886_97,place_r13071886,شهر نوبران,spelling,osm
alias_r6800807_98,place_r6800807,شهر سامان,spelling,osm
alias_r11355645_99,place_r11355645,شهر خنداب,spelling,osm
alias_r7786098_100,place_r7786098,شهر سورشجان,spelling,osm
alias_r17749619_101,place_r17749619,شهر بهنمیر,spelling,osm
alias_r8975678_102,place_r8975678,شهر نقنه,spelling,osm
alias_r16739156_103,place_r16739156,شهر زیاران,spelling,osm
alias_r6846378_104,place_r6846378,شهر منظریه,spelling,osm
alias_r16718683_105,place_r16718683,شهر هیدج,spelling,osm
alias_r8729080_106,place_r8729080,شهر گرمدره,spelling,osm
alias_r19099239_107,place_r19099239,شهر فیرورق,spelling,osm
alias_w898067117_108,place_w898067117,شهر دولت آباد,spelling,osm
alias_r16783015_109,place_r16783015,شهر گلدشت,spelling,osm
alias_r9165973_110,place_r9165973,شهر مراوه تپه,spelling,osm
alias_r11139561_111,place_r11139561,شهر مهر,spelling,osm
alias_r13071642_112,place_r13071642,شهر غرق آباد,spelling,osm
alias_r11166650_113,place_r11166650,شهر آباده طشک,spelling,osm
alias_r18306873_114,place_r18306873,شهر آشار,spelling,osm
alias_r11012480_115,place_r11012480,شهر طرقبه,spelling,osm
alias_r8682772_116,place_r8682772,شهر شریف آباد,spelling,osm
alias_r17575861_117,place_r17575861,شهر رودبنه,spelling,osm
alias_r8975693_118,place_r8975693,شهر فرادنبه,spelling,osm
alias_r16740133_119,place_r16740133,شهر چهاربرج,spelling,osm
alias_r16699892_120,place_r16699892,شهر عسلویه,spelling,osm
alias_r8975701_121,place_r8975701,شهر بلداجی,spelling,osm
alias_r9265624_122,place_r9265624,شهر بادرود,spelling,osm
alias_r16739795_123,place_r16739795,شهر باروق,spelling,osm
alias_r17644238_124,place_r17644238,شهر بنارویه,spelling,osm
alias_r13081894_125,place_r13081894,شهر جدید امیرکبیر,spelling,osm
alias_r14409498_126,place_r14409498,شهر زاینده رود,spelling,osm
alias_r16191766_127,place_r16191766,شهر درجزین,spelling,osm
alias_r9209813_128,place_r9209813,شهر نیاسر,spelling,osm
alias_r16699894_129,place_r16699894,شهر بیدخون,spelling,osm
alias_r12449335_130,place_r12449335,شهر داودآباد,spelling,osm
alias_r13044888_131,place_r13044888,شهر کمیجان,spelling,osm
alias_r9165974_132,place_r9165974,شهر کلاله,spelling,osm
alias_r8814446_133,place_r8814446,شهر محی آباد,spelling,osm
alias_r6892339_134,place_r6892339,شهر هفشجان,spelling,osm
alias_r16702992_135,place_r16702992,شهر کاکی,spelling,osm
alias_r12452412_136,place_r12452412,شهر فرمهین,spelling,osm
alias_r13694150_137,place_r13694150,شهر مأمونیه,spelling,osm
alias_r13887335_138,place_r13887335,شهر تفرش,spelling,osm
alias_r9080266_139,place_r9080266,شهر هرمز,spelling,osm
alias_r8770276_140,place_r8770276,شهر ریگان,spelling,osm
alias_r6800972_141,place_r6800972,شهر بن,spelling,osm
alias_r8842569_142,place_r8842569,شهر علی آباد کتول,spelling,osm
alias_r17581038_143,place_r17581038,شهر لالی,spelling,osm
alias_r16702902_144,place_r16702902,شهر بندر ریگ,spelling,osm
alias_r11339797_145,place_r11339797,شهر شهباز,spelling,osm
alias_r14160364_146,place_r14160364,شهر بفروییه,spelling,osm
alias_r16711477_147,place_r16711477,شهر مهرگان,spelling,osm
alias_w283650300_148,place_w283650300,شهر شوش,spelling,osm
alias_r15921821_149,place_r15921821,شهر خمام,spelling,osm
alias_r16705161_150,place_r16705161,شهر بندر امام حسن,spelling,osm
alias_r8900303_151,place_r8900303,شهر دلیجان,spelling,osm
alias_r16711478_152,place_r16711478,شهر محمدیه,spelling,osm
alias_r11141839_153,place_r11141839,شهر فراشبند,spelling,osm
alias_r18797272_154,place_r18797272,شهر نورآباد,spelling,osm
alias_r6800953_155,place_r6800953,شهر لردگان,spelling,osm
alias_r13063010_156,place_r13063010,شهر آشتیان,spelling,osm
alias_r11342466_157,place_r11342466,شهر شازند,spelling,osm
alias_r8799457_158,place_r8799457,شهر کردکوی,spelling,osm
alias_r12291270_159,place_r12291270,شهر رابر,spelling,osm
alias_r11142434_160,place_r11142434,شهر ارسنجان,spelling,osm
alias_r16365677_161,place_r16365677,شهر آب پخش,spelling,osm
alias_r16701379_162,place_r16701379,شهر بندر سیراف,spelling,osm
alias_r9172958_163,place_r9172958,شهر عالی شهر,spelling,osm
alias_r10460945_164,place_r10460945,شهر فاروج,spelling,osm
alias_r17352312_165,place_r17352312,شهر تکاب,spelling,osm
alias_r19194802_166,place_r19194802,شهر قره ضیاءالدین,spelling,osm
alias_r14075799_167,place_r14075799,شهر راوند,spelling,osm
alias_r15687578_168,place_r15687578,شهر زهک,spelling,osm
alias_r14553046_169,place_r14553046,شهر شهمیرزاد,spelling,osm
alias_r16736051_170,place_r16736051,شهر قیدار,spelling,osm
alias_r9080268_171,place_r9080268,شهر سوزا,spelling,osm
alias_r6762800_172,place_r6762800,شهر آستانه اشرفیه,spelling,osm
alias_r10386604_173,place_r10386604,شهر استهبان,spelling,osm
alias_r16191767_174,place_r16191767,شهر مهدی‌شهر,spelling,osm
alias_r11141894_175,place_r11141894,شهر حاجی آباد,spelling,osm
alias_r8778939_176,place_r8778939,شهر گمیش تپه,spelling,osm
alias_r8814418_177,place_r8814418,شهر اندوهجرد,spelling,osm
alias_w898069883_178,place_w898069883,شهر فریمان,spelling,osm
alias_r6729501_179,place_r6729501,منطقه ۱۰ شهر تهران,spelling,osm
alias_r9389113_180,place_r9389113,شهر محمودآباد,spelling,osm
alias_r16736630_181,place_r16736630,شهر اشتهارد,spelling,osm
alias_r6729502_182,place_r6729502,منطقه ۱۷ شهر تهران,spelling,osm
alias_r16705162_183,place_r16705162,شهر بندر دیلم,spelling,osm
alias_r9715389_184,place_r9715389,شهر بردسکن,spelling,osm
alias_r16739154_185,place_r16739154,شهر آبیک,spelling,osm
alias_r17352104_186,place_r17352104,شهر رودسر,spelling,osm
alias_r8770259_187,place_r8770259,شهر فهرج,spelling,osm
alias_r12980719_188,place_r12980719,شهر نسیم شهر,spelling,osm
alias_r8886560_189,place_r8886560,شهر خورسند,spelling,osm
alias_r14126411_190,place_r14126411,شهر احمدآباد مستوفی,spelling,osm
