id,code,name,name_en,publisher,url,kind,notice,notice_en
kscheme_isced_f_2013,isced-f-2013,رشته‌های آموزش و تربیتِ یونسکو (ISCED-F 2013),ISCED Fields of Education and Training 2013,UNESCO Institute for Statistics,https://uis.unesco.org/en/topic/international-standard-classification-education-isced,field,منبع: مؤسسهٔ آمارِ یونسکو، ISCED-F 2013. عنوان‌های فارسی را ایکیکو افزوده است. این فهرست، با عنوان‌های فارسی‌اش، با مجوزِ CC BY-SA 3.0 IGO منتشر می‌شود.,"Source: UNESCO Institute for Statistics, ISCED Fields of Education and Training 2013 (ISCED-F 2013). Modified: Persian titles added by iKiKu. Licensed under CC BY-SA 3.0 IGO (https://creativecommons.org/licenses/by-sa/3.0/igo/)."
kscheme_isco_08,isco-08,طبقه‌بندیِ بین‌المللیِ استانداردِ مشاغل (ISCO-08),International Standard Classification of Occupations 2008,International Labour Organization,https://ilostat.ilo.org/methods/concepts-and-definitions/classification-occupation/,occupation,کدها و عنوان‌های انگلیسی از ISCO-08 است (سازمانِ بین‌المللیِ کار، ژنو، ۲۰۱۲). عنوان‌های فارسی را ایکیکو ترجمه کرده است؛ این ترجمه رسمی نیست و سازمانِ بین‌المللیِ کار (ILO) آن را تهیه، بازبینی یا تأیید نکرده است.,"Source: International Labour Organization, International Standard Classification of Occupations (ISCO-08), Geneva, 2012: codes and English titles. The Persian titles are a translation of a copyrighted work of the International Labour Organization (ILO), made by iKiKu. This translation has not been prepared, reviewed or endorsed by the ILO and should not be considered an official ILO translation. The ILO disclaims all responsibility for its content and accuracy. Responsibility rests solely with the authors of the translation."
