id,node_id:id,country_id:id,offered,reason
crule_bar_alcohol_ir,spec_bar_alcohol,base.ir,0,عرضه و تولیدِ نوشیدنیِ الکلی در ایران قانونی نیست.
crule_alcoholic_beverages_ir,spec_alcoholic_beverages,base.ir,0,عرضه و تولیدِ نوشیدنیِ الکلی در ایران قانونی نیست.
